assignment_id,student_id,subject_id,assignment_description,assigned_date,due_date,completed
1,1,1,Write an essay on Telugu literature,2024-01-15,2024-01-30,True
2,1,2,Complete the English grammar worksheet,2024-01-15,2024-01-30,True
3,1,3,Solve the math problems in the textbook,2024-01-15,2024-01-30,True
4,1,4,Draw a picture of your favorite animal,2024-01-15,2024-01-30,True
5,1,5,Complete the social studies project on Indian history,2024-01-15,2024-02-15,True
6,1,6,Conduct a science experiment on plants,2024-01-15,2024-01-30,True
7,2,1,Write an essay on Telugu literature,2024-01-15,2024-01-30,True
8,2,2,Complete the English grammar worksheet,2024-01-15,2024-01-30,True
9,2,3,Solve the math problems in the textbook,2024-01-15,2024-01-30,True
10,2,4,Draw a picture of your favorite animal,2024-01-15,2024-01-30,True
11,2,5,Complete the social studies project on Indian history,2024-01-15,2024-02-15,True
12,2,6,Conduct a science experiment on plants,2024-01-15,2024-01-30,True
13,3,1,Write an essay on Telugu literature,2024-01-15,2024-01-30,True
14,3,2,Complete the English grammar worksheet,2024-01-15,2024-01-30,True
15,3,3,Solve the math problems in the textbook,2024-01-15,2024-01-30,True
16,3,4,Draw a picture of your favorite animal,2024-01-15,2024-01-30,True
17,3,5,Complete the social studies project on Indian history,2024-01-15,2024-02-15,True
18,3,6,Conduct a science experiment on plants,2024-01-15,2024-01-30,True
19,4,1,Write an essay on Telugu literature,2024-01-15,2024-01-30,True
20,4,2,Complete the English grammar worksheet,2024-01-15,2024-01-30,True
21,4,3,Solve the math problems in the textbook,2024-01-15,2024-01-30,True
22,4,4,Draw a picture of your favorite animal,2024-01-15,2024-01-30,True
23,4,5,Complete the social studies project on Indian history,2024-01-15,2024-02-15,True
24,4,6,Conduct a science experiment on plants,2024-01-15,2024-01-30,True
25,5,1,Write an essay on Telugu literature,2024-01-15,2024-01-30,True
26,5,2,Complete the English grammar worksheet,2024-01-15,2024-01-30,True
27,5,3,Solve the math problems in the textbook,2024-01-15,2024-01-30,True
28,5,4,Draw a picture of your favorite animal,2024-01-15,2024-01-30,True
29,5,5,Complete the social studies project on Indian history,2024-01-15,2024-02-15,True
30,5,6,Conduct a science experiment on plants,2024-01-15,2024-01-30,True
